72.196.193.178 - - [24/Oct/2020:18:45:04 +0000] "GET / HTTP/1.1" 500 170 "-" "-" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET / HTTP/1.1" 200 2312 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /static/css/main.aad72135.chunk.css HTTP/1.1" 200 16269 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /static/js/main.eee0dd47.chunk.js HTTP/1.1" 200 22554 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /static/js/2.8aa2a118.chunk.js HTTP/1.1" 200 250323 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /static/media/riot.d2572908.png HTTP/1.1" 200 48706 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /logo192.png HTTP/1.1" 200 6202 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:42 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:47 +0000] "GET /static/media/phone.f48bf704.png HTTP/1.1" 200 491700 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:47 +0000] "GET /static/media/landingbackground.9f4896c3.png HTTP/1.1" 200 1758835 "http://18.192.56.124/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
77.248.65.46 - - [24/Oct/2020:18:51:48 +0000] "GET /static/media/loginbackground.cad6758f.png HTTP/1.1" 200 2284135 "http://18.192.56.124/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
